individual,gender,mode,decision,dwell_time,incentive,congestion,alt,choice_id
75.0,1.0,MRT,1.0,30.0,7.0,0.0,stay,139
75.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,139
75.0,1.0,MRT,1.0,45.0,7.0,0.0,stay,140
75.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,140
75.0,1.0,MRT,1.0,60.0,7.0,0.0,stay,141
75.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,141
75.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,142
75.0,1.0,MRT,0.0,75.0,0.0,0.0,stay,142
75.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,143
75.0,1.0,MRT,0.0,75.0,3.0,0.0,stay,143
75.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,144
75.0,1.0,MRT,0.0,75.0,7.0,0.0,stay,144
76.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,145
76.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,145
78.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,146
78.0,1.0,MRT,0.0,30.0,7.0,0.0,stay,146
80.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,147
80.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,147
85.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,148
85.0,1.0,MRT,0.0,30.0,7.0,0.0,stay,148
86.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,149
86.0,1.0,MRT,0.0,30.0,7.0,0.0,stay,149
87.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,150
87.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,150
88.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,151
88.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,151
91.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,152
91.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,152
95.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,153
95.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,153
97.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,154
97.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,154
98.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,155
